customer_id,days_since_last_order,total_orders,total_money,rfm_segment
16161,1,19,5575.56,555
12539,21,4,5568.35,445
15805,22,17,5528.48,455
18225,2,12,5509.12,555
16609,14,7,5493.46,455
16985,16,10,5464.12,455
16265,8,9,5447.00,555
18198,3,17,5425.56,555
12490,4,10,5417.93,555
17809,15,12,5411.91,455
16701,8,13,5398.30,555
17719,37,15,5396.04,355
17850,371,34,5391.21,155
16303,25,3,5360.63,435
13269,0,15,5346.23,555
15150,16,10,5314.47,455
17730,2,13,5298.48,555
17061,73,11,5232.23,255
18226,43,11,5228.05,355
12362,2,10,5226.23,555
15046,8,15,5213.77,555
16258,44,5,5203.51,345
13756,1,14,5189.52,555
16191,2,13,5180.52,555
15727,16,7,5178.96,455
17858,5,12,5155.66,555
13599,0,21,5153.67,555
15903,9,7,5126.76,555
13941,21,5,5112.96,445
17602,1,6,5102.97,555
16700,8,13,5076.55,555
14562,3,18,5074.77,555
15301,50,12,5070.35,355
13139,15,7,5064.94,455
12432,42,5,5059.32,345
15719,32,13,5045.61,355
17426,7,6,5037.26,555
14329,16,7,5014.84,455
14755,9,11,5010.28,555
12444,20,5,5005.46,445
15032,255,3,4959.10,135
15547,6,14,4954.84,555
12437,1,18,4951.41,555
12700,7,4,4939.99,545
15786,45,3,4932.20,335
14709,14,13,4921.04,455
17133,15,7,4892.24,455
12664,7,9,4881.88,555
12688,113,1,4873.81,215
14292,7,9,4871.93,555
17652,24,12,4867.72,455
15738,18,16,4812.42,455
13013,0,13,4810.94,555
15555,11,16,4805.17,555
17365,12,8,4801.56,555
15298,1,12,4799.90,555
15187,1,16,4777.18,555
17690,29,15,4757.95,455
12955,0,11,4757.16,555
14180,10,25,4748.52,555
15152,9,13,4745.69,555
16722,16,13,4730.81,455
12714,8,5,4708.86,545
14159,19,11,4693.01,455
14135,1,15,4690.31,555
14191,1,13,4684.76,555
15291,25,15,4668.30,455
14189,1,15,4654.08,555
14390,9,9,4652.82,555
14286,23,3,4628.75,435
16931,4,21,4604.22,555
13802,138,3,4599.42,235
15093,17,6,4597.02,455
14004,42,7,4582.64,355
17613,22,14,4559.15,455
17068,11,21,4552.14,555
12484,32,6,4541.72,355
13267,2,19,4521.49,555
15299,66,7,4507.01,355
17975,14,13,4488.81,455
12524,8,8,4485.72,555
14426,23,10,4481.67,455
16984,87,2,4481.35,235
17364,0,11,4481.18,555
12627,10,7,4478.53,555
14085,1,18,4448.54,555
14534,2,18,4447.05,555
13069,0,24,4436.12,555
15955,23,14,4416.26,455
16626,0,17,4413.10,555
15874,63,7,4405.88,355
12712,28,13,4396.13,455
13505,72,4,4393.63,245
12752,80,1,4366.78,215
16945,21,19,4345.50,455
14016,161,4,4341.21,245
14800,47,12,4339.74,355
14525,19,9,4332.20,455
17567,6,8,4331.48,555
18251,86,1,4314.72,225
12347,1,7,4310.00,555
15034,15,8,4308.61,455
17937,8,7,4301.22,555
14422,0,6,4263.64,555
12500,22,11,4257.82,455
17419,10,12,4226.57,555
14277,14,3,4216.20,435
15804,0,13,4206.39,555
17920,3,17,4204.10,555
15971,17,12,4199.85,455
12747,1,11,4196.01,555
14146,8,5,4191.00,545
18041,11,21,4183.39,555
12949,30,8,4167.22,455
15570,6,12,4165.52,555
16549,9,10,4154.64,555
13384,30,7,4151.93,455
13555,73,4,4149.28,245
13988,19,6,4147.96,455
15514,11,11,4139.46,555
12569,1,32,4124.69,555
16592,3,16,4113.68,555
17940,48,10,4106.44,355
17377,23,20,4100.92,455
16401,0,12,4098.32,555
16670,16,11,4095.90,455
12749,3,5,4090.88,545
14092,7,14,4076.91,555
12449,21,4,4067.29,445
18087,97,2,4055.72,235
14401,3,13,4051.48,555
12656,16,5,4051.17,445
12867,25,7,4036.82,455
13815,21,4,4027.36,445
12841,4,25,4022.35,555
12957,9,8,4017.54,555
12378,129,1,4008.62,225
14547,3,8,4007.54,555
16186,22,12,4006.94,455
17769,12,10,3997.98,555
15529,22,11,3995.23,455
17001,0,11,3989.57,555
15416,64,4,3984.32,345
17611,6,15,3984.22,555
12779,37,8,3981.36,355
12727,10,7,3980.70,555
14299,7,9,3965.62,555
13523,32,5,3964.88,445
13183,7,9,3957.78,555
17651,11,10,3945.00,555
12473,28,5,3938.55,445
17593,3,5,3927.34,545
14739,3,7,3902.28,555
13999,9,12,3901.81,555
14291,1,11,3883.25,555
18073,113,12,3877.52,255
13124,89,3,3866.33,245
15195,2,1,3861.00,515
16717,23,6,3858.38,455
12662,0,11,3849.78,555
16327,13,6,3844.22,455
13266,10,12,3834.26,555
17091,2,9,3827.76,555
15867,4,15,3812.64,555
12755,279,2,3811.95,135
12597,18,4,3811.22,445
13435,4,7,3809.89,555
12668,11,4,3807.15,545
16145,8,11,3799.49,555
16655,17,6,3794.52,455
16168,10,27,3787.60,555
16019,46,9,3786.24,355
12562,7,7,3781.74,555
17173,4,8,3766.60,555
16904,3,16,3754.27,555
12429,8,4,3750.40,545
17238,2,17,3744.65,555
14145,46,4,3742.20,345
13552,65,12,3740.07,355
16570,14,10,3738.40,455
15808,305,4,3734.97,145
14282,2,15,3729.34,555
12502,95,5,3723.87,245
12647,21,12,3722.82,455
13680,0,4,3722.42,545
16240,23,2,3718.80,435
14364,108,8,3717.35,255
15845,17,8,3711.77,455
15622,42,9,3709.56,355
13148,28,12,3707.12,455
17819,71,7,3704.87,255
15379,168,7,3703.29,255
12553,7,10,3692.28,555
16253,66,2,3683.86,335
15581,120,13,3679.97,255
15296,50,6,3672.86,355
18079,44,4,3651.97,345
13137,10,8,3650.41,555
12417,2,9,3649.10,555
16712,8,11,3645.43,555
13426,0,10,3641.32,555
12619,15,9,3641.24,455
16440,7,5,3640.67,545
13381,31,6,3639.31,455
17230,263,8,3638.41,155
14543,28,16,3630.33,455
17528,0,8,3628.50,555
13327,38,8,3627.77,355
13520,58,6,3624.35,345
17576,7,19,3622.68,555
14040,40,12,3614.92,355
13082,125,9,3613.63,255
15505,52,5,3610.96,345
15113,9,3,3609.33,545
16242,7,7,3603.21,555
15484,0,4,3594.31,545
14132,1,11,3586.03,555
17203,35,6,3563.85,345
17491,0,10,3558.87,555
15544,8,9,3546.71,555
12370,50,4,3545.69,345
14503,2,6,3543.26,545
13448,16,6,3539.37,445
13334,81,3,3536.82,245
12454,55,1,3528.34,315
17160,30,6,3518.03,455
13953,6,7,3515.68,555
16360,4,6,3512.53,555
14395,1,9,3507.71,555
16131,51,6,3506.54,355
14907,2,7,3501.10,555
16458,2,18,3482.74,555
13993,42,9,3466.36,355
13014,10,10,3466.28,555
17758,18,8,3456.70,455
15410,83,8,3450.84,255
13536,0,7,3448.29,555
15129,49,11,3447.40,355
15974,38,7,3442.15,355
17725,15,11,3439.08,455
15676,18,3,3435.76,445
14221,41,9,3432.80,355
12406,21,2,3415.30,435
15981,24,8,3408.48,455
13437,13,7,3408.06,455
17669,42,7,3406.72,355
13198,9,6,3401.24,555
15228,65,4,3386.71,345
13842,58,9,3385.62,355
15708,40,7,3364.24,355
16011,7,16,3362.71,555
14227,25,10,3350.96,455
16818,10,11,3349.57,555
16607,17,14,3347.71,455
17183,7,6,3347.31,555
13015,52,5,3346.28,345
12643,127,6,3344.64,255
12613,56,5,3344.38,345
12594,37,10,3338.22,355
16556,66,7,3313.79,355
13373,60,3,3312.25,345
14841,52,6,3295.76,355
14702,0,17,3292.14,555
15632,15,8,3285.31,455
12480,27,4,3281.63,445
15764,87,6,3279.97,255
17723,126,6,3276.40,255
13952,217,2,3251.07,135
13047,31,10,3237.54,455
15443,1,7,3236.91,555
17050,95,6,3228.84,255
14175,59,3,3222.30,345
13880,20,13,3219.77,455
13268,17,11,3214.69,455
14388,9,8,3212.84,555
16107,17,7,3204.16,455
17220,23,14,3198.25,455
13868,6,2,3192.54,535
17685,16,7,3191.53,455
13758,11,7,3190.55,555
14844,63,4,3189.81,345
12456,43,3,3181.04,345
17672,49,2,3178.17,335
17231,11,10,3174.32,555
16837,30,11,3170.98,455
16041,30,3,3166.40,445
15861,11,8,3165.36,555
17863,58,6,3160.00,355
15065,37,4,3158.13,345
14235,74,5,3144.86,245
13742,16,12,3131.02,455
16156,8,9,3122.04,555
13685,2,7,3119.44,555
16326,5,14,3110.96,555
16678,2,12,3109.99,555
13869,122,4,3104.95,245
14099,15,11,3104.17,455
16905,4,7,3102.43,555
15491,94,6,3100.09,255
14257,63,5,3099.72,345
14565,95,4,3099.12,245
13135,196,1,3096.00,115
17059,29,5,3095.04,445
13362,8,4,3090.74,545
15998,36,5,3089.97,345
16218,29,7,3084.68,455
18272,2,6,3078.58,555
12910,22,8,3075.04,455
13631,99,11,3070.42,255
16686,46,7,3062.83,355
14456,4,9,3062.40,555
17799,21,10,3055.93,455
16940,51,3,3049.88,345
16393,1,13,3046.21,555
16709,84,5,3029.87,245
12598,9,8,3023.08,555
12395,18,12,3018.63,455
18094,81,7,3017.30,255
12754,235,3,3010.74,145
12916,138,4,3006.15,245
15521,39,8,3000.20,355
17659,16,12,2999.46,455
17504,205,9,2997.03,155
12670,9,5,2996.05,545
14307,88,6,2995.72,255
15687,8,9,2993.10,555
14639,51,6,2984.49,355
13451,25,5,2976.15,445
14032,1,11,2975.59,555
15854,3,12,2974.65,555
16497,49,6,2965.69,355
17924,11,7,2962.50,555
14868,2,8,2953.59,555
17084,34,2,2949.75,335
17444,147,3,2940.04,245
16316,63,8,2938.91,355
14530,25,6,2925.91,455
17512,28,10,2924.99,455
15606,60,9,2920.16,355
12906,11,5,2919.81,545
14112,22,7,2915.15,455
12438,13,2,2906.85,435
17644,0,11,2895.64,555
18144,7,12,2888.75,555
12408,32,5,2888.55,345
13735,24,4,2885.24,445
16633,16,6,2883.10,455
15673,87,4,2881.02,245
14251,1,5,2879.70,545
17728,3,3,2876.01,545
14005,9,5,2874.72,545
15628,4,9,2870.24,555
14711,9,11,2868.80,555
13901,71,5,2867.20,245
14535,59,3,2864.19,345
12685,27,6,2863.08,455
18145,12,4,2861.55,545
16928,79,17,2847.60,255
15984,2,10,2837.67,555
14852,57,6,2836.69,355
14572,2,7,2832.84,555
17596,22,7,2827.93,455
14842,43,4,2824.69,345
13174,15,3,2817.03,445
16871,21,6,2812.34,455
12356,22,3,2811.43,445
14903,20,5,2810.63,445
18230,8,7,2810.20,555
13230,3,14,2806.97,555
16081,55,5,2806.90,345
16764,3,13,2799.25,555
15993,8,7,2797.57,555
13769,1,10,2796.51,555
12578,20,2,2794.51,435
12758,116,2,2791.59,235
17739,11,7,2791.35,555
14626,23,4,2791.27,445
17213,39,7,2781.23,355
12388,15,6,2780.66,455
14121,3,4,2780.15,545
17838,26,5,2779.30,445
13870,1,8,2770.94,555
15356,30,10,2766.50,455
15114,29,10,2760.56,455
14854,77,7,2759.83,255
13971,18,8,2758.26,455
15321,70,3,2748.31,345
12669,150,3,2744.03,245
14808,39,8,2741.17,355
14125,10,3,2740.43,545
15696,32,8,2736.46,355
16938,8,4,2736.38,545
16003,29,5,2735.37,445
12840,143,4,2726.77,245
12380,21,4,2724.81,445
12708,29,10,2712.91,455
15796,0,8,2711.56,555
17069,27,9,2709.70,455
13285,22,4,2709.12,445
13654,42,6,2707.33,355
14107,51,7,2703.23,355
14732,7,8,2702.49,555
18097,7,6,2697.80,555
17386,7,6,2686.42,555
12625,211,2,2683.82,135
17346,3,15,2676.56,555
13883,10,5,2674.48,545
14713,8,11,2666.36,555
12360,51,3,2662.06,345
14439,319,1,2661.24,115
15671,18,7,2657.13,455
12721,31,6,2656.13,455
13851,95,3,2651.46,245
16618,30,5,2647.59,445
18260,172,6,2643.20,255
13658,9,5,2639.17,545
17655,10,7,2638.94,555
15752,39,7,2637.38,355
13804,30,7,2635.79,455
13771,63,4,2634.45,345
12520,78,5,2634.26,245
17402,4,13,2633.85,555
18077,7,11,2633.01,555
13422,63,1,2626.30,315
13644,15,4,2624.26,445
17965,37,14,2622.57,355
18210,1,6,2621.38,555
16255,16,8,2619.91,455
14262,7,8,2618.23,555
13021,3,9,2616.38,555
15782,9,3,2614.74,545
14397,2,19,2612.96,555
12836,58,4,2612.86,345
18075,22,10,2611.75,455
12726,27,7,2609.10,455
16241,9,13,2607.87,555
13136,55,5,2607.61,345
14408,10,7,2606.53,555
13983,29,12,2603.43,455
17317,45,3,2600.34,345
12600,28,10,2599.04,455
16919,155,11,2596.45,255
13895,27,4,2593.07,445
14243,8,10,2588.77,555
15033,4,10,2586.67,555
13911,56,9,2580.91,355
14546,4,5,2578.09,545
16912,28,11,2575.38,455
15485,29,3,2575.00,445
18245,6,7,2567.06,555
16308,37,4,2560.00,345
15572,4,7,2552.86,555
14334,16,8,2552.21,455
14701,10,9,2549.37,555
14676,30,6,2548.24,455
13344,67,3,2543.72,345
14776,50,11,2538.30,355
17700,16,4,2534.64,445
13471,0,4,2531.58,545
14659,8,9,2529.93,555
17314,24,8,2527.92,455
13975,30,6,2526.28,455
17449,1,7,2520.86,555
13394,1,8,2520.02,555
15245,133,3,2515.84,245
15271,6,15,2507.07,555
12352,35,8,2506.04,355
13695,30,15,2504.13,455
12517,27,5,2502.84,445
15932,3,8,2495.87,555
16477,63,7,2494.46,355
12483,16,8,2484.98,455
12913,4,5,2483.63,545
16710,18,10,2483.04,455
14315,44,6,2481.13,355
13507,2,4,2479.16,545
13588,15,9,2478.95,455
17682,9,6,2474.33,555
17188,10,7,2474.23,555
14766,7,6,2473.37,555
14502,19,11,2470.67,455
17164,32,7,2467.35,355
12455,72,6,2466.86,255
15750,2,8,2465.48,555
17131,4,5,2463.17,545
13784,9,11,2462.79,555
15674,72,5,2446.60,245
14163,86,4,2445.91,245
15527,18,8,2429.78,455
17071,27,9,2429.03,455
13949,2,6,2427.32,555
16143,2,6,2424.94,555
17722,95,4,2424.04,245
15089,9,6,2420.84,555
15373,7,12,2415.91,555
12397,35,2,2409.90,335
17589,59,4,2404.17,345
15980,88,3,2398.86,245
18065,5,14,2392.83,555
13141,84,5,2388.75,245
15370,40,7,2386.05,355
17530,0,10,2385.00,555
14493,6,5,2383.24,545
14554,9,4,2381.04,545
14239,42,11,2380.85,355
15270,15,7,2379.49,455
13722,131,3,2375.41,245
17434,1,7,2373.82,555
14930,108,3,2372.86,245
13908,79,4,2369.55,245
15755,9,6,2364.25,555
12457,65,7,2363.23,355
17634,35,9,2361.97,355
14030,17,8,2360.09,455
14440,7,5,2357.68,545
15140,51,7,2354.25,355
14309,7,9,2352.53,555
12704,6,8,2340.84,555
18259,24,3,2338.60,445
12584,3,9,2338.15,555
18257,38,8,2337.63,355
17954,4,12,2332.72,555
15281,58,9,2332.15,355
12782,4,5,2330.92,545
15785,32,5,2328.97,345
17313,30,1,2328.84,415
17744,3,6,2322.40,555
17211,26,8,2317.22,455
14290,10,5,2314.65,545
15365,25,7,2314.32,455
13994,3,6,2313.14,555
13704,4,9,2308.06,555
15288,42,5,2306.52,345
16735,78,5,2300.56,245
16550,108,5,2298.97,245
15105,17,7,2298.93,455
13115,11,4,2294.78,545
15704,139,4,2293.62,245
12615,1,4,2291.19,545
13527,33,7,2287.51,355
17696,37,8,2285.71,355
12684,7,7,2283.63,555
16782,9,13,2279.90,555
13317,65,6,2273.68,355
17768,7,3,2273.18,545
14466,28,7,2272.40,455
13700,25,10,2265.12,455
16057,15,7,2263.12,455
16209,88,5,2262.62,245
14432,9,6,2255.51,555
16293,21,10,2248.99,455
17442,36,6,2248.56,355
15235,217,12,2247.51,155
16771,32,5,2246.81,345
15665,167,2,2242.01,235
14211,52,9,2241.10,355
16743,28,7,2238.09,455
14560,6,22,2237.77,555
14700,31,3,2235.30,445
16076,2,10,2234.73,555
15834,69,4,2233.75,345
18242,71,4,2232.49,245
14226,28,5,2232.19,445
14825,3,12,2226.91,555
17591,72,7,2225.97,255
12783,1,6,2225.91,555
13365,33,2,2225.37,335
15722,35,5,2222.56,345
15811,21,6,2218.62,455
12876,57,2,2218.02,335
12653,148,2,2209.85,235
13862,17,8,2209.36,455
15797,112,4,2207.40,245
15179,17,5,2206.95,445
13831,15,6,2202.99,455
17406,332,3,2200.42,145
15123,6,2,2199.31,535
16628,29,5,2188.05,445
15394,9,4,2183.54,545
14341,44,8,2182.28,355
12856,7,6,2179.93,555
12909,39,5,2178.67,345
12501,335,1,2169.39,115
12633,58,4,2163.98,345
13755,3,9,2161.35,555
12935,1,7,2160.70,555
16456,98,5,2158.37,245
14407,106,6,2157.73,255
16379,3,4,2157.40,545
13224,59,2,2155.95,335
16966,7,7,2154.97,555
17272,41,4,2148.63,345
14828,196,3,2139.76,145
12560,4,3,2134.01,545
17400,125,5,2129.96,245
13517,59,3,2128.42,345
14360,31,4,2128.23,445
16407,12,10,2126.93,555
14640,23,6,2125.08,455
15058,24,11,2124.99,455
13632,24,5,2121.27,445
18061,21,10,2119.41,455
18008,69,9,2116.19,355
14691,30,5,2114.33,445
13265,52,5,2107.66,345
18173,86,4,2106.84,245
18093,92,4,2106.52,245
14461,147,3,2103.06,245
14515,17,6,2102.09,455
17861,2,8,2100.80,555
15815,63,5,2100.60,345
13126,4,8,2099.64,555
12610,22,5,2099.54,445
16875,66,5,2095.53,345
17191,27,7,2095.13,455
18283,3,16,2094.88,555
14306,50,2,2093.32,335
17490,0,7,2092.32,555
13571,12,12,2092.32,555
13297,7,4,2089.85,545
18044,3,10,2088.60,555
14810,40,11,2087.88,355
16954,0,9,2085.08,555
18231,191,5,2083.27,145
14696,3,7,2078.95,555
14209,10,6,2073.43,555
18241,9,17,2073.09,555
18219,2,10,2069.77,555
14482,17,6,2068.15,455
12948,15,7,2064.95,455
12928,34,5,2062.70,345
16281,71,1,2062.06,215
14409,70,6,2059.45,354
12518,0,5,2056.89,544
17667,65,5,2055.51,344
14188,30,6,2054.36,454
16150,42,5,2053.02,344
17086,6,6,2050.08,554
17612,52,6,2048.45,354
14232,42,5,2048.07,344
17625,17,4,2047.00,444
13495,7,5,2044.87,544
17597,213,1,2044.37,114
17090,3,7,2043.95,554
13450,26,6,2043.72,454
14001,45,3,2043.08,344
12585,233,2,2040.10,134
13593,107,5,2037.08,244
18069,25,5,2036.67,444
17846,84,1,2033.10,214
13630,4,7,2031.78,554
16409,35,5,2028.88,344
17337,150,4,2027.87,244
16358,0,4,2027.50,544
14544,23,2,2024.45,434
15341,80,1,2020.52,214
14506,16,5,2012.17,444
15531,7,2,2007.44,534
15372,136,1,2007.40,214
16098,87,7,2005.63,254
14730,0,8,2005.06,554
14217,1,17,2004.98,554
14462,65,11,2004.02,354
17082,32,2,2003.85,334
16754,371,1,2002.40,114
15493,32,5,2001.80,344
18188,14,3,2001.04,444
13305,3,10,2000.86,554
16698,226,2,1998.00,134
17827,4,5,1995.46,544
18204,70,3,1993.70,344
17679,52,2,1992.11,334
17088,27,4,1991.01,444
13246,17,6,1987.30,454
13590,10,6,1981.92,554
13725,49,8,1980.56,354
17422,15,6,1979.37,454
16341,24,4,1971.87,444
17997,73,8,1970.67,254
12674,38,4,1970.60,344
17790,26,14,1965.55,454
17218,3,10,1960.72,554
15351,11,7,1960.11,554
14498,42,5,1957.32,344
12853,134,6,1957.10,254
17554,0,5,1952.45,544
14533,24,7,1949.72,454
14653,0,7,1947.55,554
15814,16,4,1945.33,444
15518,63,8,1942.45,354
14418,3,3,1937.25,544
14472,103,8,1936.84,254
15864,21,6,1936.32,454
15157,3,3,1936.07,544
12528,8,6,1933.48,554
14655,7,4,1932.23,544
14978,71,5,1931.42,244
16983,12,7,1931.25,554
13094,20,12,1927.32,454
16942,12,9,1920.59,454
15021,8,9,1914.82,554
17368,22,8,1912.67,454
14285,20,4,1910.01,444
16426,1,10,1908.25,554
17228,15,8,1906.09,454
14210,105,6,1905.84,254
15819,48,4,1905.45,344
14250,6,3,1904.05,544
12762,7,2,1898.52,534
17463,15,5,1896.41,444
17870,1,12,1894.35,554
14934,81,2,1890.94,234
12371,44,2,1887.96,334
15641,104,4,1887.20,244
16170,50,6,1885.05,354
13890,0,10,1883.81,554
16128,17,5,1880.22,444
17738,18,4,1879.05,444
15367,56,4,1877.59,344
17293,7,9,1875.11,554
16986,29,2,1873.20,434
13982,38,4,1871.81,344
16474,6,7,1871.50,554
17469,15,5,1870.97,444
16841,36,6,1869.82,354
14524,31,9,1867.68,454
17787,152,4,1865.19,244
16201,2,4,1863.47,544
14887,78,1,1862.00,214
12423,0,8,1859.31,554
17873,79,5,1859.16,244
14305,70,3,1858.96,344
12963,7,8,1856.63,554
16979,3,6,1852.00,554
13421,39,2,1851.08,334
12383,184,5,1850.56,144
12381,4,5,1845.31,544
17519,16,6,1844.02,454
18180,4,6,1843.75,554
12950,1,3,1843.00,544
17015,28,3,1842.56,444
16102,41,3,1842.14,344
16455,63,7,1841.18,354
14113,3,4,1840.42,544
14216,2,4,1839.30,544
13924,1,6,1838.85,554
14459,154,1,1837.92,214
18287,42,3,1837.28,344
13650,16,6,1836.34,454
15827,72,14,1836.09,254
13048,13,4,1835.91,444
14665,60,5,1835.70,344
16152,268,1,1829.04,114
15203,25,6,1827.80,454
18122,7,6,1826.21,554
17702,29,4,1824.37,444
16153,49,5,1824.23,344
17705,2,9,1823.52,554
16169,7,4,1822.97,544
17828,22,4,1820.09,444
